home_team,away_team,Attendance,Date
Angola,Portugal,45000,2006-06-11
England,Paraguay,48000,2006-06-10
Trinidad and Tobago,Sweden,62959,2006-06-10
Argentina,Côte d'Ivoire,49480,2006-06-10
Germany,Costa Rica,64950,2006-06-09
Poland,Ecuador,52000,2006-06-09
Germany,Brazil,69029,2002-06-30
Korea Republic,Türkiye,63483,2002-06-29
Brazil,Türkiye,61058,2002-06-26
Germany,Korea Republic,65625,2002-06-25
Spain,Korea Republic,42114,2002-06-22
Senegal,Türkiye,44233,2002-06-22
England,Brazil,47436,2002-06-21
Germany,United States,37337,2002-06-21
Japan,Türkiye,45666,2002-06-18
Korea Republic,Italy,38588,2002-06-18
Mexico,United States,36380,2002-06-17
Brazil,Belgium,40440,2002-06-17
Sweden,Senegal,39747,2002-06-16
Spain,Republic of Ireland,38926,2002-06-16
Germany,Paraguay,25176,2002-06-15
Denmark,England,40582,2002-06-15
Tunisia,Japan,45213,2002-06-14
Belgium,Russia,46640,2002-06-14
Portugal,Korea Republic,50239,2002-06-14
Poland,United States,26482,2002-06-14
Costa Rica,Brazil,38524,2002-06-13
Türkiye,China PR,43605,2002-06-13
Mexico,Italy,39291,2002-06-13
Ecuador,Croatia,65862,2002-06-13
Sweden,Argentina,45777,2002-06-12
Nigeria,England,44864,2002-06-12
South Africa,Spain,31024,2002-06-12
Slovenia,Paraguay,30176,2002-06-12
Denmark,France,48100,2002-06-11
Senegal,Uruguay,33681,2002-06-11
Saudi Arabia,Republic of Ireland,65320,2002-06-11
Cameroon,Germany,47085,2002-06-11
Korea Republic,United States,60778,2002-06-10
Tunisia,Belgium,39700,2002-06-10
Portugal,Poland,31000,2002-06-10
Mexico,Ecuador,45610,2002-06-09
Costa Rica,Türkiye,42299,2002-06-09
Japan,Russia,66108,2002-06-09
South Africa,Slovenia,47226,2002-06-08
Italy,Croatia,36472,2002-06-08
Brazil,China PR,36750,2002-06-08
Sweden,Nigeria,36194,2002-06-07
Spain,Paraguay,24000,2002-06-07
Argentina,England,35927,2002-06-07
Denmark,Senegal,43500,2002-06-06
Cameroon,Saudi Arabia,52328,2002-06-06
France,Uruguay,38070,2002-06-06
Russia,Tunisia,30957,2002-06-05
United States,Portugal,37306,2002-06-05
Germany,Republic of Ireland,35854,2002-06-05
China PR,Costa Rica,27217,2002-06-04
Japan,Belgium,55256,2002-06-04
Korea Republic,Poland,48760,2002-06-04
Croatia,Mexico,32239,2002-06-03
Brazil,Türkiye,33842,2002-06-03
